Nama Satuan Pendidikan;NPSN;Bentuk Pendidikan;Nomor Whatsapp;Nama Lengkap;Email/username;Password
SDLB IDAYU;20565334;SLB;0812345678;SDLB IDAYU;20565334.SLB@gmail.com;20565334_SLB
SLB - BC DHARMA WANITA 03;20554968;SLB;0812345679;SLB - BC DHARMA WANITA 03;20554968.SLB@gmail.com;20554968_SLB
SLB AL FIRMA`UNAH;70015393;SLB;0812345680;SLB AL FIRMA`UNAH;70015393.SLB@gmail.com;70015393_SLB
SLB BC KEPANJEN;20537317;SLB;0812345681;SLB BC KEPANJEN;20537317.SLB@gmail.com;20537317_SLB
SLB BC PGRI SUMBERPUCUNG;20517804;SLB;0812345682;SLB BC PGRI SUMBERPUCUNG;20517804.SLB@gmail.com;20517804_SLB
SLB BC PUTRA HARAPAN;20517809;SLB;0812345683;SLB BC PUTRA HARAPAN;20517809.SLB@gmail.com;20517809_SLB
SLB BIMANTARA;70061952;SLB;0812345684;SLB BIMANTARA;70061952.SLB@gmail.com;70061952_SLB
SLB ISLAM YASINDO;20555054;SLB;0812345685;SLB ISLAM YASINDO;20555054.SLB@gmail.com;20555054_SLB
SLB PELITA QOLBU;69968190;SLB;0812345686;SLB PELITA QOLBU;69968190.SLB@gmail.com;69968190_SLB
SLB TAMIMA MUMTAZ;69985209;SLB;0812345687;SLB TAMIMA MUMTAZ;69985209.SLB@gmail.com;69985209_SLB
SLB WIDYA SHANTIKA;69772579;SLB;0812345688;SLB WIDYA SHANTIKA;69772579.SLB@gmail.com;69772579_SLB
SLB-BC DHARMA WANITA 01;20554967;SLB;0812345689;SLB-BC DHARMA WANITA 01;20554967.SLB@gmail.com;20554967_SLB
SLBN PEMBINA TINGKAT NASIONAL BAGIAN C MALANG;20517808;SLB;0812345690;SLBN PEMBINA TINGKAT NASIONAL BAGIAN C MALANG;20517808.SLB@gmail.com;20517808_SLB
SMA AISYIYAH BOARDING SCHOOL;69963113;SMA;0812345691;SMA AISYIYAH BOARDING SCHOOL;69963113.SMA@gmail.com;69963113_SMA
SMA AL FATTAH;69841142;SMA;0812345692;SMA AL FATTAH;69841142.SMA@gmail.com;69841142_SMA
SMA AL-MAAHIRA IIBS MALANG;70003968;SMA;0812345693;SMA AL-MAAHIRA IIBS MALANG;70003968.SMA@gmail.com;70003968_SMA
SMA GLOBAL ISLAMIC SCHOOL AL AMIN;20560083;SMA;0812345694;SMA GLOBAL ISLAMIC SCHOOL AL AMIN;20560083.SMA@gmail.com;20560083_SMA
SMA INTEGRAL AR-ROHMAH;69964827;SMA;0812345695;SMA INTEGRAL AR-ROHMAH;69964827.SMA@gmail.com;69964827_SMA
SMA ISLAM BANI HASYIM SINGOSARI;20517791;SMA;0812345696;SMA ISLAM BANI HASYIM SINGOSARI;20517791.SMA@gmail.com;20517791_SMA
SMA ISLAM TERPADU ASY SYADZILI;69966093;SMA;0812345697;SMA ISLAM TERPADU ASY SYADZILI;69966093.SMA@gmail.com;69966093_SMA
SMA KRISTEN YBPK SITIARJO;20517841;SMA;0812345698;SMA KRISTEN YBPK SITIARJO;20517841.SMA@gmail.com;20517841_SMA
SMA NU AL FUDLOLI;69841143;SMA;0812345699;SMA NU AL FUDLOLI;69841143.SMA@gmail.com;69841143_SMA
SMA PLUS AL-FALAH AL-MAKKY;70052127;SMA;0812345700;SMA PLUS AL-FALAH AL-MAKKY;70052127.SMA@gmail.com;70052127_SMA
SMA TARUNA NUSANTARA TERINTEGRASI KAMPUS MALANG;70052118;SMA;0812345701;SMA TARUNA NUSANTARA TERINTEGRASI KAMPUS MALANG;70052118.SMA@gmail.com;70052118_SMA
SMA THURSINA IIBS;69965070;SMA;0812345702;SMA THURSINA IIBS;69965070.SMA@gmail.com;69965070_SMA
SMA WAHIDIYAH KEPANJEN;69938510;SMA;0812345703;SMA WAHIDIYAH KEPANJEN;69938510.SMA@gmail.com;69938510_SMA
SMAN 1 BANTUR;20517728;SMA;0812345704;SMAN 1 BANTUR;20517728.SMA@gmail.com;20517728_SMA
SMAN 1 BULULAWANG;20549465;SMA;0812345705;SMAN 1 BULULAWANG;20549465.SMA@gmail.com;20549465_SMA
SMAN 1 DAMPIT;20517738;SMA;0812345706;SMAN 1 DAMPIT;20517738.SMA@gmail.com;20517738_SMA
SMAN 1 GONDANGLEGI;20517729;SMA;0812345707;SMAN 1 GONDANGLEGI;20517729.SMA@gmail.com;20517729_SMA
SMAN 1 KEPANJEN;20517730;SMA;0812345708;SMAN 1 KEPANJEN;20517730.SMA@gmail.com;20517730_SMA
SMAN 1 LAWANG;20517739;SMA;0812345709;SMAN 1 LAWANG;20517739.SMA@gmail.com;20517739_SMA
SMAN 1 NGANTANG;20517731;SMA;0812345710;SMAN 1 NGANTANG;20517731.SMA@gmail.com;20517731_SMA
SMAN 1 PAGAK;20517732;SMA;0812345711;SMAN 1 PAGAK;20517732.SMA@gmail.com;20517732_SMA
SMAN 1 SINGOSARI;20517733;SMA;0812345712;SMAN 1 SINGOSARI;20517733.SMA@gmail.com;20517733_SMA
SMAN 1 SUMBERMANJING;20517734;SMA;0812345713;SMAN 1 SUMBERMANJING;20517734.SMA@gmail.com;20517734_SMA
SMAN 1 SUMBERPUCUNG;20517735;SMA;0812345714;SMAN 1 SUMBERPUCUNG;20517735.SMA@gmail.com;20517735_SMA
SMAN 1 TUMPANG;20517736;SMA;0812345715;SMAN 1 TUMPANG;20517736.SMA@gmail.com;20517736_SMA
SMAN 1 TUREN;20517737;SMA;0812345716;SMAN 1 TUREN;20517737.SMA@gmail.com;20517737_SMA
SMAS A YANI SUMBERPUCUNG;20517799;SMA;0812345717;SMAS A YANI SUMBERPUCUNG;20517799.SMA@gmail.com;20517799_SMA
SMAS AL MUNAWARIYYAH BULULAWANG;20517798;SMA;0812345718;SMAS AL MUNAWARIYYAH BULULAWANG;20517798.SMA@gmail.com;20517798_SMA
SMAS AL RIFAIE GONDANGLEGI;20549647;SMA;0812345719;SMAS AL RIFAIE GONDANGLEGI;20549647.SMA@gmail.com;20549647_SMA
SMAS AMPELGADING;20517784;SMA;0812345720;SMAS AMPELGADING;20517784.SMA@gmail.com;20517784_SMA
SMAS AN NUR BULULAWANG;20517785;SMA;0812345721;SMAS AN NUR BULULAWANG;20517785.SMA@gmail.com;20517785_SMA
SMAS AR ROHMAH DAU;20517786;SMA;0812345722;SMAS AR ROHMAH DAU;20517786.SMA@gmail.com;20517786_SMA
SMAS AR-ROHMAH PUTRI BOARDING SCHOOL DAU;20577343;SMA;0812345723;SMAS AR-ROHMAH PUTRI BOARDING SCHOOL DAU;20577343.SMA@gmail.com;20577343_SMA
SMAS BABUSSALAM PAGELARAN;20517787;SMA;0812345724;SMAS BABUSSALAM PAGELARAN;20517787.SMA@gmail.com;20517787_SMA
SMAS DARUL QUR-AN;20517790;SMA;0812345725;SMAS DARUL QUR-AN;20517790.SMA@gmail.com;20517790_SMA
SMAS DHARMA WANITA 1 BULULAWANG;20517792;SMA;0812345726;SMAS DHARMA WANITA 1 BULULAWANG;20517792.SMA@gmail.com;20517792_SMA
SMAS DHARMA WIRAWAN XII;20566374;SMA;0812345727;SMAS DHARMA WIRAWAN XII;20566374.SMA@gmail.com;20566374_SMA
SMAS DIPONEGORO DAMPIT;20517795;SMA;0812345728;SMAS DIPONEGORO DAMPIT;20517795.SMA@gmail.com;20517795_SMA
SMAS DIPONEGORO TUMPANG;20517794;SMA;0812345729;SMAS DIPONEGORO TUMPANG;20517794.SMA@gmail.com;20517794_SMA
SMAS HASANUDDIN WAJAK;20517796;SMA;0812345730;SMAS HASANUDDIN WAJAK;20517796.SMA@gmail.com;20517796_SMA
SMAS ISLAM AHMAD YANI NGANTANG;20517813;SMA;0812345731;SMAS ISLAM AHMAD YANI NGANTANG;20517813.SMA@gmail.com;20517813_SMA
SMAS ISLAM AL IKHLASH KASEMBON;20517832;SMA;0812345732;SMAS ISLAM AL IKHLASH KASEMBON;20517832.SMA@gmail.com;20517832_SMA
SMAS ISLAM AL-HIKMAH BULULAWANG;20517814;SMA;0812345733;SMAS ISLAM AL-HIKMAH BULULAWANG;20517814.SMA@gmail.com;20517814_SMA
SMAS ISLAM AL-HIKMAH TAJINAN;20517815;SMA;0812345734;SMAS ISLAM AL-HIKMAH TAJINAN;20517815.SMA@gmail.com;20517815_SMA
SMAS ISLAM AL-MAARIF SINGOSARI;20517831;SMA;0812345735;SMAS ISLAM AL-MAARIF SINGOSARI;20517831.SMA@gmail.com;20517831_SMA
SMAS ISLAM AN-NUURU TIRTOYUDO;20517833;SMA;0812345736;SMAS ISLAM AN-NUURU TIRTOYUDO;20517833.SMA@gmail.com;20517833_SMA
SMAS ISLAM DIPONEGORO WAGIR;20517834;SMA;0812345737;SMAS ISLAM DIPONEGORO WAGIR;20517834.SMA@gmail.com;20517834_SMA
SMAS ISLAM KARANGPLOSO;20517836;SMA;0812345738;SMAS ISLAM KARANGPLOSO;20517836.SMA@gmail.com;20517836_SMA
